가이나,계집아이,,
가이날,가윗날,,
가이내,계집아이,,
가일,과일,,
가자구,배,,
가자이,가랑이,,
가자이,가지,,
가잘매기,가자미,,
가잘메기,가자미,,
가잘미,가자미,,
가장이,가랑이,,
가장이,가지,,
가재미젓,가자미젓,,
가재미조림,가자미조림,,
가재이,가랑이,,
가재이,가지,,
가쟁이,가랑이,,
가정,가장,,
가조다,가져오다,,
가조론이,가지런히,,
가좆다,가져오다,,
가주고오다,가져오다,,
가주런이,가지런히,,
가주런하다,가지런하다,,
가주런히,가지런히,,
가주오다,가져오다,,
가즈런하다,가지런하다,,
가즈런히,가지런히,,
가지가다,가져가다,,
가지개,가위,,
가지고오다,가져오다,,
가지라이,가랑이,,
가지란허다,가지런하다,,
가지랑,가랑이,,
가지랑시럽다,야지랑스럽다,,
가지래이,가랑이,,
가지랭이,가랑이,,
가지랭이,가지,,
가지론이,가지런히,,
가지미,가자미,,
가지빼굉이,가지말랭이,,
가지빼꽹이,가지말랭이,,
가지오다,가져오다,,
가지풀,강아지풀,,
가짓고시래기,가지말랭이,,
가징스럽다,가증스럽다,,
가징시롭다,가증스럽다,,
가짠내,가납사니,,
가차웁다,가깝다,,
가착다,가깝다,,
가참허다,가깝다,,
가찹다,가깝다<DR /> 제주 지역에서는 찹다’로도 적는다.,,
가초사니,보추때기,,
가치복,까칠복,,
가치사니,보추때기,,
가친,갖신,,
가터다,같다,,
가터리,까투리,,
가테,가,,
가토리,까투리,,
가퇴끼,집토끼,,
가투리,까투리,,
가트다,같다<DR /> 제주 지역에서는 트다’로도 적는다.,,
가티,가,,
가파리다,가파르다,,
가판지다,비탈지다,,
가푸다,가쁘다,,
가풋하다,가뿟하다,,
가프다,가쁘다,,
가프다,갚다,,
각게,각기,,
각게,각기,,
각단각단,무쩍무쩍,,
각단이,"사람의 성질이나 행동, 생김새 따위가 빈틈이 없이 꽤 단단하고 굳세게",,
각단지다,단호하거나 확실하다,,
각두,혁대,,
각또,각띠,,
각뚜,각띠,,
각뛰,각띠,,
각바,각반,,
각수리,잔돈,,
각시거무,무당거미,,
각시보자,소꿉질,,
각시질,계집질,,
각시질허다,계집질하다,,
각싯감,신붓감,,
각아붓자식,각아비자식,,
각자금,각자,,
각젱이,종지,,
각지금,각자,,
각지다,비탈지다,,
각화,잔돈,,
간,구완,,
간꽃,소금쩍,,
간나구,간나위,,
간나구짓,화냥질,,
간내,계집아이,,
간대,빨랫줄,,
간데,군데,,
간데,가운데,,
간데손구락,가운뎃손가락,,
간뎃놈,세 아들 가운데 둘째 되는 아들,,
간뎅이,군데,,
간뎅이,간덩이,,
간등,간수,,
간등허다,간수하다,,
간디,군데,,
간디,관데,,
간디,그런데,,
간보,배짱,,
간보다,남의 속뜻을 살며시 헤아려 보다,,
간빵,건빵,,
간사재이,간살쟁이,,
간살배이,간살쟁이,,
간살보,간살쟁이,,
간살시롭다,간사스럽다,,
간삽다,간사하다,,
간새꾼,간사한 사람,,
간솔,관솔,,
간술,관솔,,
간스런이,가지런히,,
간스런하다,가지런하다,,
간스런히,가지런히,,
간스럼하다,가느스름하다,,
간스롬하다,가느스름하다,,
간스름하다,가느스름하다,,
간시럼하다,가느스름하다,,
간시롬하다,가느스름하다,,
간시름하다,가느스름하다,,
간양,광양,,
간자주럼하다,간잔지런하다,,
간잔조름허다,간잔지런하다,,
간잔주롬하다,간잔지런하다,,
간잔주름하다,간잔지런하다,,
간잔지럼하다,간잔지런하다,,
간잔지롬하다,간잔지런하다,,
간잔지름하다,간잔지런하다,,
간잘구,가오리연,,
간잘구지,가오리연,,
간장깍쟁이,간장쪽박,,
간장물,지지랑물,,
간장종구래기,간장쪽박,,
간장종구래미,간장쪽박,,
간장종구랭이,간장쪽박,,
간재미,가자미,,
간재미,간자미,,
간저미,가재미,,
간제미,노랑가오리,,
간제비,가오리연,,
간조고,간조기,,
간조니허다,가지런하다,,
간조란허다,가지런하다,,
간주런이,가지런히,,
간주런허다,가지런하다,,
간주런히,가지런히,,
간지락개,간지럼,,
간지락발,간지럼,,
간지람,간지럼,,
간지람멕이다,간질이다,,
간지람믹이다,간질이다,,
간지랍다,가렵다,,
간지랍다,간지럽다,,
간지랍밥,간지럼,,
간지랍밥멕이다,간질이다,,
간지랍히다,간질이다,,
간지랑대,바지랑대,,
간지런하다,가지런하다,,
간지런허다,가지런하다,,
간지런히,가지런히,,
간지럼믹이다,간질이다,,
간지럼밥믹이다,간질이다,,
간지럼태다,간질이다,,
간지럽,간지럼,,
간지렁허다,가지런하다,,
간지롬,간지럼,,
간지롭다,가렵다,,
간지롭다,간지럽다,,
간지룹다,가렵다,,
간지르다,간하다’ 방언,,
간지름밥,간지럼,,
간지름밥믹이다,간질이다,,
간지박,간지럼,,
간지살대,담뱃대,,
간지설대,간짓대,,
간직대,간짓대,,
간진자리,잠자리,,
간질대,간짓대,,
간질르다,간하다’ 방언,,
간질백이,간질이는 짓,,
간짓개,장대,,
간짓개,간짓대,,
간촐하다,단출하다,,
간출허다,단출하다,,
간치다,간하다’ 방언,,
간판,강판,,
간푸다,힘들다,,
갇헤다,갇히다,,
갈,알을 낳을 때가 되어 붉은빛을 띠고 있는 피라미,,
갈,가루,,
갈가마구,갈까마귀,,
갈가마귀,갈까마귀,,
갈가마기,갈까마귀,,
갈가시,갯지렁이,,
갈가지,갈퀴,,
갈강,논두렁,,
갈개둑,논둑,,
갈개치다,갈개를 만들다,,
갈거시,장구벌레,,
갈거시,갯지렁이,,
갈거지,갯지렁이,,
갈고댕기다,싸돌아다니다,,
갈고댕이다,싸돌아다니다,,
갈고라이,갈고랑이,,
갈고링이,갈고랑이,,
갈구셍이,갯지렁이,,
갈구젱이,갈고랑이,,
갈그셍이,장구벌레,,
갈금,갈근,,
갈금갈금,갈근갈근,,
갈기마구,갈까마귀,,
갈까마구,갈까마귀,,
갈까마기,갈까마귀,,
갈꾸,갈고리,,
갈꾸,갈퀴,,
갈꾸랭이,갈퀴,,
갈꾸리,갈고리,,
갈내,암내,,
갈다구,각다귀,,
갈대밧,갈대밭,,
갈따구,갈매기,,
갈라스다,갈라서다,,
갈락,계집아이,,
갈래,흘레,,
갈래다,가르다,,
갈래질,갈림길,,
갈량,가령,,
갈러다,가르다,,
갈레,흘레,,
갈레가다,헤어지다,,
갈레내다,흘레 시기가 되다,,
갈려지다,갈리다,,
갈르다,가르다,,
갈름,가늠,,
갈름,갈래,,
갈름길,갈림길,,
갈름질,갈림길,,
갈리다,가꾸다,,
갈리다,가르다,,
갈림,소작,,
갈마구,갈매기,,
갈마다,보관하다,,
갈마옇다,간수하다,,
갈무,갈모,,
갈무리,갈고리,,
갈미,갈매기<DR /> 제주 지역에서는 미’로도 적는다.,,
갈미새,갈매기,,
갈밧,갈밭,,
갈버리,가을보리,,
갈베뻬,갈비뼈,,
갈보다,가루다,,
갈보다,깔보다,,
갈보다,겨누다,,
갈부다,깔보다,,
갈부다,겨누다,,
갈비다,가루다,,
