어휘,뜻풀이
분추,부추
붇숟갈,부손
불,벌
불,벌
불거지,산란기에 붉은 혼인색을 띤 피라미의 수컷
불겁다,부럽다
불고리하다,불그레하다
불고리해다,불그레하다
불고물개,부엌의 아궁이에서 재를 긁어낼 때 사용하는 고무래
불곳,불거웃
불구다,불리다
불그수룸하다,불그스름하다
불그족족하다,불그죽죽하다
불까래,부삽
불꽃,불거웃
불도디개,부손
불도디깨,부손
불따깨,부손
불땡이,부지깽이
불러지,피라미의 수컷
불르다,부르다
불막대,부지깽이
불막대기,부지깽이
불머리,숯머리
불모,풀무
불무,풀무
불무간,대장간
불무깐,대장간
불무불무,부라부라
불무질,부라질
불비댕이,부등가리
불비댕이,부삽
불살개,불쏘시개
불삽,부삽
불소시개,불쏘시개
불쇠,석쇠
불쇠바닥,불혀
불숟가락,부순
불숟갈,부손
불쏘수개,불쏘시개
불쑤소개,불쏘시개
불쑤쑤개,불쏘시개
불씨,부시
불씸불씸,우물우물
불여깨이,불여우
불여수,불여우
불저개,부젓가락
불젓가락,부젓가락
불젓갈,부젓가락
불주걱,부삽
불집개,부젓가락
불초,부추
불칼,벼락
불털,거웃
붉낭구,붉나무
붉다,부럽다
붉은무수,홍당무
붐배,눈보라
붓잽이,학자’를 낮추어 이르는 말
붓줄,밧줄
붕땡이나무,붉나무
붕알,불알
붕팅이,붉나무
붙잽다,붙잡다
붛다,붓다
붜이,부엉이
붝,아궁이
붝고래,아궁이
붝고무래,불고무래
붝고물개,불고무래
붝아궁이,아궁이
붝짝,아궁이
붝칼,부엌칼
붤,벌
붤,벌
붤,벌
붸다,보이다
비개,베개
비개싸개,베갯잇
비개호청,베갯잇
비개홑이불,베갯잇
비갯잇,베갯잇
비게,비듬
비긋하다,버긋하다
비기,비지
비나,비녀
비나목,비녀목
비나무,섶나무
비나장,비녀장
비낭,배낭
비냍다,뱉어 내다
비냐,비녀
비냥,벼랑
비너,비녀
비눌,비듬
비단배암,비단뱀
비댕이,부삽
비둘키,비둘기
비들키,비둘기
비듬,비름
비듬나무,느릅나무
비등개미,부삽
비딤,비듬
비뚜룸하다,비뚜름하다
비뜩하다,얼씬하다
비러바기,비렁뱅이
비러배이,비렁뱅이
비럭질,부역
비렁배이,비렁뱅이
비렝바기,비렁뱅이
비렝이,비렁뱅이
비렝이,거지
비로,비료
비루다,벼리다
비루비루하다,꾀죄죄하고 초라하다
비룩,벼룩
비룸,비름
비룸박,바람벽
비리기,벼룩
비리다,버리다
비리다,벼리다
비빨,얼씬
비석치기,비사치기
비손질,비손
비숫하다,비슷하다
비슥하다,비슷하다<DR /> 제주 지역에서는 비슥다’로도 적는다.
비슬,볏
비슴,빔
비시감치,비스듬히
비시깨,성냥
비실,볏
비심,빔
비싯하다,비스듬하다
비싯하다,비슷하다
비쓱하다,비치다
비씨서리,비설거지
비아리,병아리
비알,비탈
비암딸,뱀딸기
비앵기,비행기
비얄밭,비탈밭
비얌,뱀
비얌장아,뱀장어
비얌장어,뱀장어
비양기,비행기
비억,부엌
비얼,별
비왈,비탈
비울,별
비을,별
비젓하다,비슷하다
비즘,비듬
비지,비듬
비질거리다,비칠거리다
비치락,비
비키다,보이다
비테허리,부티
비트리다,비틀다
비틀올갱이,다슬기
비할,비탈
빈달,비탈
빈데기,번데기
빈소,변소
빈자문,빈지문
빈장,비탈
빈장어른,빙장어른
빈징어,밴댕이
빈충맞다,빙충맞다
빈탈,비탈
빈통,빈털터리
빌,별
빌나다,별나다
빕새,메추리
빕씨,볍씨
빙,병
빙깃거리다,빙긋거리다
빙아리,병아리
빙원,병원
빚가리,빚을 갚는 일
빛,빗
빠그락빠그락,개굴개굴
빠꿈살이,소꿉장난
빠꿈질,소꿉질
빠둣이,바듯이
빠둣이,빠듯이
빠라고둥,다슬기
빠라고등,다슬기
빠레고등,다슬기
빠루망치,장도리
빠뿔리,담뱃대
빠수다,빻다<DR /> 제주 지역에서는 수다’로도 적는다.
빠쓰,버스
빠우다,빻다
빠이뿌,담뱃대
빠이쁘샴,펌프
빠찌,딱지
빠찌치기,딱지치기
빡보,곰보
빡쥐,박쥐
빡지,박쥐
빤대기,판때기
빤드름하다,빤드레하다
빤듯하다,반듯하다
빤디끼,바로
빤때기,판때기
빤뜻하다,반뜻하다
빤뜻허다,반듯하다
빤지름하다,빤지레하다
빨가나다,빨갛다
빨개둥이,발가숭이
빨개딩이,빨강자주
빨개생기,발가숭이
빨갷다,빨갛다
빨구숭이,발가숭이
빨래물빵맹이,빨랫방망이
빨래방망이,빨랫방망이
빨래방치,빨랫방망이
빨래줄,빨랫줄
빨랫독작,빨랫돌
빨랫방매이,빨랫방망이
빨랫방맹이,빨랫방망이
빨랫방추,빨랫방망이
빨쭈리,물부리
빨추리,물부리
빯다,빻다
빵구다,빻다
빼닫이,서랍
빼닫이,서랍처럼 빼고 닫을 수 있게 만든 가구
빼마리,뺨따귀
빼이,팽이
빼재기,서랍
뺀대기,뺨따귀
뺄가둥이,발가숭이
뺄개둥이,발가숭이
뺌대기,뺨따귀
뺌사대기,뺨따귀
뺑구라미,팽이
뺑그라미,팽이
뺑이채,팽이채
뺨때기,뺨따귀
뺨싸대기,뺨따귀
뻐그리다,어기다
뻐기다,뻐개다
뻐꾹질,딸꾹질
뻐꿍이,뻐꾸기
뻐뀌기,뻐꾸기
뻐등니,뻐드렁니
뻑,배짱
뻔,버찌
뻔개,번개
뻔데기,번데기
뻔디기,번데기
뻔뜨다,본뜨다
뻔지,번지
뻗버드름하다,벋버듬하다
뻗버듬하다,벋버듬하다
뻘개딩이,뻘거숭이
뻘거나다,뻘겋다
뻘거등이,벌거숭이
뻘거딩이,벌거숭이
뻘꺼딩이,벌거숭이
뻘쭘하다,헤벌쭉하다
뻘쭘하다,헤벌쭉하다
뻣,버찌
뻣기다,벗기다
뻣낭구,벚나무
뻣낭그,벚나무
뻣낭기,벚나무
뻥투기,뻥튀기
뻬로기,벼룩
뻬록,벼룩
뻬루기,벼룩
뻬룩,벼룩
뻬뿌장구,삘기
뻬슬,볏
뻬지다,삐치다
뻬쭉,뾰족
뻬품,뼈품
뼈다지,뼈다귀
뼈룩,벼룩
뼝아리,병아리
뽀강지,아궁이
뽀드리기,뾰두라지
뽀로지,뾰루지
뽀베,서랍
뽀욕뽀욕,뾰족뾰족
뽐,펌프
뽐,봄
뽐뽀샘,펌프
뽐쁘물,펌프
뽐쁘새암,펌프
뽐쁘샘,펌프
뽐쁘샴,펌프
뽕오대,오디
뿌기다,부수다
뿌께다,부수다
뿌끼다,부수다
뿌락지,뿌리
뿌러트리다,부러트리다
뿌렝이,뿌리
뿌링이,뿌리
뿌서다,부수다
뿌수다,부수다
뿌역뿌역,쀼죽쀼죽
뿌찌기다,부추기다
뿔겋다,뻘겋다
뿔곡괭이,곡괭이
뿔끼디디하다,불그데데하다
뿔나케,부리나케
뿔눈,세모눈
뿔쭈리,빨부리
뿕다,붉다
뿕어지다,붉어지다
삐다,뿌리다
삐덜키,비둘기
삐디기,삘기
삐뜩하다,얼씬하다
삐뜩하면,걸핏하면
삐룩,벼룩
삐비,삘기
삐빠,사포
삐삐,삘기
삐삐기,삘기
삐삣내기,"어떤 일이 연속적으로 일어나지 않고, 띄엄띄엄 불규칙하게 일어나는 모양"
삐얄,마루터기
삐지,비지
삐지다,삐치다
삐쭉하다,삐치다
삐치다,비치다
삐탈지다,비탈지다
삘기다,퉁기다
삠비기,삘기
삣기다,벗기다
삣다,빗다
사갈래길,사거리
사갓,삿갓
사구다,사귀다
사기다,사귀다
사까래,서까래
사깨이,살쾡이
사꽤이,살쾡이
사꽹이,살쾡이
사꾕이,살쾡이
사나,사레
사나끈,새끼
사나웁다,사납다
사날좋다,넉살스럽다
사내꼭지,사내코빼기
사내끼,새끼
사내아히,사내아이
사내이,사나이
사내코투리,사내자식
사내키,새끼
사내히,사나이
사라,사레
사라,접시
사랍,서랍
사랑뒷간,한뎃뒷간
사레다,사뢰다
사려보다,살펴보다
사루,사레
사룩,윷
사륙,윷
사리,사레
사릿문,사립문
사마구,사마귀
사마구,사마귀
사마구이,사마귀
사마기,사마귀
사막,사마귀
사매귀,사마귀
사무,사뭇
사무,항상
사무럽다,사납다
사묵,사뭇<DR /> 제주 지역에서는 묵’으로도 적는다.
사물떨다,재롱떨다
사발떠깡,사발의 뚜껑
사발뚜께,사발의 뚜껑
사발뚜베이,사발의 뚜껑
사발뚜에,사발의 뚜껑
사발중우,잠방이
사발중이,잠방이
사부랭이,새뱅이
사불치,새뱅이
사붕개,새우
사블사블,상글상글
사뽀,사포
사수리나무,상수리나무
사심,사슴
사어,상어
사오,사위
사오납다,사납다
사옷대,상앗대
사우,사위
사우이,사위
사을,사흘<DR /> 제주 지역에서는 을’로도 적는다.
사이,새
사일,사흘
사작다리,사닥다리
사장으른,사장어른
사전,새경
사즌,사진
사증,사정
사철하다,어떤 일을 스스로 나서서 부지런히 처리하는 태도가 있다
사타고니,사타구니
사타구이,사타구니
사타굼지,사타구니
사타금지,사타구니
사태구리,사타구니
사탱이,샅
사토리,사투리
사트리,사투리
사헐,사흘
사헤,사회
사흘날,사흗날
삭가지,삭정이
삭갈다,보리나 밀 따위를 맷돌로 껍질째 갈다
삭대,상앗대
삭대기,삭정이
삭도가리,삭정이
삭됑이,살쾡이
삭두기,삭정이
삭둥이,살쾡이
삭쟁이,살쾡이
삭정가지,삭정이
삭정개비,삭정이
삭제이,삭정이
삭젱이,삭정이
삭주가리,삭정이
삭중이,살쾡이
삭증이,삭정이
삭지갱이,삭정이
삭징이,삭정이
삭징이,살쾡이
삭쳉이,삭정이
삭치기,삭갈이
삭후다,삭히다
삮갈리다,섞갈리다
산고라당,산골짜기
산골탕이,산골짜기
산구렁,산골짜기
산기슥,산기슭
산기슬,산기슭
산기슬기,산기슭
산나끈,새끼
산나끼,새끼
산날망이,산마루
산날맹이,산마루
산내기,새끼
산내끼,새끼
산눌림,산울림
산대뱅이,산꼭대기
산대지,산돼지
산덩서이,산등성이
산데미,산더미
산돌이,산쟁이
산돗,산돼지
산돼아지,산돼지
산되지,산돼지
산등서이,산등성이
산등선,산등성이
산등세이,산등성이
산등셍이,산등성이
산등싱이,산등성이
산딸구,산딸기
산마리테기,산마루터기
산말구,산마루
산말랭이,산마루
산말루,산마루
산말쟁이,산마루
산모덩이,산굽이
산모랭이,산모롱이
산모팅이,산모퉁이
산보오리,산봉우리
산보우리,산봉우리
산볼,산벌
산봉두리,산봉우리
산봉오리,산봉우리
산비악,산비탈
산비알,산비탈
산빈달,산비탈
산소자리,묏자리
산수,산소
산수자리,묏자리
산잔딩이,산봉우리
산지슬,산기슭
산추자,가래
산태미,삼태기
산테끼,산토끼
산토깽이,산토끼
산퇴끼,산토끼
산퉤끼,산토끼
산포두,머루
살,사흘
살가지,살쾡이
살감문,사립문
살강이,살강
살강지,살쾡이
살개이,살강
살갯돌,볼씨
살갱이,살쾡이
살갱이,살강
살고마니,살그머니
살광이,살쾡이
살괘이,살강
살괘이,살쾡이
살괭이,살강
살괴기덩어리,살덩어리
살굉이,살쾡이
살굽다,살갑다
살그마니,살그머니
살꼬기,살코기
살꽹이,살쾡이
살랑,살강
살림,말림
살머시,살며시
살므다,삶다<DR /> 제주 지역에서는 므다’로도 적는다.
살심,새알심
살짜기,살짝
살쭉징이,쭉정이
살찌다,살지다
살쾅이,살쾡이
살쾌이,살쾡이
살쾨기,살코기
살타구니,사타구니
살폿하다,포근하다
살풋하다,포근하다
삼,샘<DR /> 제주 지역에서는 ’으로도 적는다.
삼가래질,삼거리
삼갈래길,삼거리
삼날,아이를 낳은 지 사흘째 되는 날
삼발대,다리쇠
삼삼이다,그립다
삼장,자꾸
삼태미,삼태기
삽밥,삽으로 파 넘긴 흙덩이
삽볼,삽날의 한복판
삽짝,사립문
삽짝걸,사립문이 있는 곳
삽쩍걸,사립문이 있는 곳
상고,논에 물이 들어오는 곳
상구,줄곧
상그,아직
상긋,아직
상랑하다,상량하다
상서릿대,장대
상수리낭구,상수리나무
상순애기,식물의 기본 줄기 제일 꼭대기에 새로 돋아난 어린줄기
상오리,상수리
상오리나무,상수리나무
상우,상
상우리나무,상수리나무
상우리낭구,상수리나무
상채,생채
상취,상추
상치,생채
상키다,삼키다
상태,생태
새,쇠
새각시,새색시
새감치,사금파리
새감파리,사금파리
새갱이,억새
새갱이,새꽤기
새곰치,사금파리
새곰파리,사금파리
새괘기,새꽤기
새괘끼,새꽤기
새굉이,억새
새굼파리,사금파리
새그럽다,시다
새금쟁이,사금파리
새금치,사금파리
새금파리,사금파리
새금파리,소꿉질
새금팽이,사금파리
새금팽이,소꿉질
새기다,사귀다
새꼽맞다,새삼스럽다
새꼽빠지다,새삼스럽다
새끼봉창,귀주머니
새끼손고락,새끼손가락
새끼손구락,새끼손가락
새끼호랑,귀주머니
새낑이,새끼
새나끈,새끼
새내끼,새끼
새니끼,새끼
새다리,사다리
새닥,새댁
새닥다리,사닥다리
새똥저구리,색동저고리
새뜨기,쇠비름
새띠기,쇠비름
새룹다,새롭다
새매기,싸라기
새방이,새우
새배이,새우
새배이,새뱅이
새뱅이,새우
새뱅이매운탕,"민물 새우에 무, 쑥갓, 미나리 따위의 채소를 넣고 얼큰하게 끓인 찌개"
새뱅이찌개,"민물 새우에 무, 쑥갓, 미나리 따위의 채소를 넣고 얼큰하게 끓인 찌개"
새벅,새벽
새벅밥,새벽밥
새벡밥,새벽밥
새벵개,새우
새병개,새우
새복,새벽
새복밥,새벽밥
새복새별,샛별
새부랭이,새우
새붕개,새우
새비랭이,새우
새비젓,새우젓
새빙게,새우
새사닥,새색시
새새댁,새색시
새새악시,새색시
새샥시,새색시
새손님,혼인 때에 가족으로서 신랑이나 신부를 데리고 온 사람. 주로 손윗사람이 이 일을 맡는다
새심,새알심
새악시,처녀
새알사미,새알심
새알삼,새알심
새알새미,새알심
새알샘,새알심
새알수미,새알심
새알수제비,새알심
새알수지미,새알심
새알수지비,새알심
새알숨,새알심
새알시미,새알심
새암,샘
새암,보조개
새암물,샘물
새애기,새아기
새양,생강
새오,새우
새옹개,새우
새옹쥐,생쥐
새우름하다,새그무레하다
새움마,새엄마
새웅개,작은 민물 새우
새월,세월
새이,새참
새잇길,샛길
새작다리,사닥다리
새조밭,화전
새쾌기,새꽤기
새틀집,새장
색걍,거울
색동누비,색동저고리
색이다,삭히다
색히다,삭히다
샌내끼,새끼
샐새미,새알심
샐족하다,샐쭉하다
샐족하다,샐쭉하다
샐쪽하다,샐쭉하다
샐쪽하다,샐쭉하다
샘돌,도랑
샛거리,곁두리
샛곱,쇠
샛나무,시초
샛도랑,봇도랑
샛밥,곁두리
생띠기,생떼
생북어,생태
생소까비,마르지 않은 소나무 가지
생손고락,생인손
생안손고락,생인손
생에,상여
생여,상여
생웅개,새우
생지,다람쥐
생차,생채
생초쌈,상추쌈
생추,생채
생치,상추
생키다,삼키다
생한손,생인손
샥,쐐기
샥시,색시
샬시미,새알심
샴,샘
샴,보조개
샹,새앙
섕지,생쥐
서,혀
서가,혀
서거리,석동
서걱서걱하다,시원시원하다
서까래이,서캐
서까리,서까래
서깨래,서까래
서끗,혀끝
서끝,혀끝
서냔장사,대장장이
서느리,삭정이
서달그믐날,섣달그믐
서답,개짐
서답,빨래
서답방치,빨랫방망이
서들,산기슭이나 산 중턱에 돌들이 무더기로 넓게 흩어져 있는 곳
서래,소래
서러웁다,서럽다
서렝이,그리마
서루,서로
서루,서로
서룹다,서럽다
서리개,솔개
서리쌀,제대로 여문 벼로 찧은 햅쌀
서모,계모
서바닥,혓바닥
서숙,조
서숙밥,조밥
서슥,조
서슥쌀,좁쌀
서양파,양파
서에,성에
서이,셋
서이,성에
서익유,석유
서카래,서캐
서카리,서캐
서캐이,서캐
서캥이,서캐
서포,곁방
석,석동
석가다,"윷놀이에서, 석 동째 가다"
석대,혁대
석동무이,석동무니
석띠,혁대
석박지,깍두기
석세,석쇠
석쇄,석쇠
석수재이,석수장이
석우,석유
석이,석유
선낫,조금
선낫,조금
선상님,선생님
선판,현판
설강,살강
설겅이,깍두기
설그지,설거지
설깡,담배설대
설렁,시렁
설렁버러지,그리마
설렁버리,귀리
설렁벌거지,그리마
설렁벌레,그리마
설렝이,그리마
설삣하다,설핏하다
설상,설마
설수,석쇠
설음없다,익숙하다
설음웂다,익숙하다
설치장,설빔
설풋하다,설핏하다
설흔,서른
섬,수염
섬짓,짐짓
섭호살이,협호살림
섯바늘,혓바늘
섯바닥,혓바닥
성,형
성낭,성
성낭,성냥
성낭각,성냥갑
성낭곽,성냥갑
성내이,승냥이
성냥각,성냥갑
성냥장사,대장장이
성냥쟁이,대장장이
성냥통,성냥갑
성님,올케
성아,형
성이,성에
성제,형제
성판,송판
성편,송편
세가,혀
세간놀이,소꿉놀이
세갈래길,삼거리
세게기,쇠고기
세경,소경
세고기,쇠고기
세괴기,쇠고기
세그럽다,시다
세꼬리,쇠꼬리
세다,쇠다
세당무니,석동무니
세데이,쇳덩이
세동무니,석동무니
세레,써레
세마,삼
세머리,쇠머리
세멘,시멘트
세뿔,쇠뿔
세숫대,세숫대야
세숫대여,세숫대야
세숫대이,세숫대야
세숫댕이,세숫대야
세스랑,쇠스랑
세슷대,세숫대야
세아리다,헤아리다
세아치,송아지
세오젓,새우젓
세이고기,쇠고기
세주,소주
세죽,소죽
세죽바가지,쇠죽바가지
세짤배기,말더듬이
세카리,서캐
세캐,서캐
섹경,석경
섹양,석양
섹여,석유
섹우,석유
섹유,석유
섹이,석유
섹이다,속이다
섹이지름,석유
센고기,흘떼기
센때,열쇠
섿,셋
셀리다,헤아리다
셋바닥,혓바닥
셋째아버님,아버지의 셋째 형을 이르는 말
셋째아부지,아버지의 셋째 형을 이르는 말
셍기다,섬기다
셍기다,당기다
셍편,송편
셔,혀
션하다,시원하다
셤,수염
셤,시험
셧바닥,혓바닥
솀,수염
소,윷
소,쇠
소가리,소가지
소개쟁이,소개꾼
소고대미,소쿠리
소고리,소쿠리
소고이기,소고기
소곰재이,잠자리
소곰쟁이,잠자리
소곰쟁이,소금쟁이
소괴기,소고기
소굼,소금
소굼장사,소금쟁이
소굼재이,소금쟁이
소굽,소의 발굽
소굽통,소의 발굽
소금무지,소금쟁이
소금생이,소금쟁이
소금자이,소금쟁이
소금장사,소금쟁이
소금장수,소금쟁이
소금재이,잠자리
소금쨍이,소금쟁이
소금챙이,소금쟁이
소기,속
소깨,서캐
소깽이,솔가리
소꼬랑지,소꼬리
소꼬리,바구니
소꼬지,소꼬리
소꼽놀이,소꿉놀이
소꼽장낭,소꿉장난
소꼽장냥,소꿉장난
소꼽장이,소꿉질
소꼽쟁이,소꿉질
소꽁지,소꼬리
소꽤기,새꽤기
소꾸베이,새꽤기
소꿈질,소꿉질
소꿉살이,소꿉질
소꿉장낭,소꿉장난
소나무광술,관솔
소낵비,소낙비
소님마마,손님마마
소당,소댕
소대가리,소머리
소대새이,잠꾸러기
소대생이,잠꾸러기
소두방,소댕
소두뱅,소댕
소두벙,소댕
소똥거럼,쇠두엄
소라고동,소라고둥
소래,소라
소로개,솔개
소롬,소름
소롯길,소로
소루개,솔개
소리질,소로
소릿길,지름길
소릿질,오솔길
소맛간,뒷간
소망,변소
소망,부리망
소매이,소매
소맹이,소매
소멍,부리망
소멍덕,부리망
소모양간,외양간
소발통,소의 발굽
소발툽,소의 발톱
소밭,쇠장
소버치,삼태기
소비럼,쇠비름
소비름,쇠비름
소뿌리,소뿔
소소리바람,회오리바람
소수리바람,회오리바람
소스랑,쇠스랑
소스리바람,회오리바람
소시개,쏘시개
소시렛바람,회오리바람
소실적,소싯적
소야치,송아지
소욤,수염
소우경,소경
소이,송이
소이게기,쇠고기
소이경,소경
소이고기,쇠고기
소이고이기,쇠고기
소이굽,소의 발굽
소이꼬리,쇠꼬리
소이눈,함박눈
소이머리,쇠머리
소이비듬,쇠비름
소이뿔,쇠뿔
소이죽,쇠죽
소이케기,쇠고기
소이코기,쇠고기
소익이다,속이다
소입망,부리망
소장땅개비,버마재비
소쪽새,소쩍새
소캐,솜
소캐,서캐
소캐저고리,솜저고리
소캥이,서캐
소쿠대미,소쿠리
소쿠데미,바구니
소쿠바리,발채
소통,구유
속가리,소가지
속것,속곳
속고뱅이,속고갱이
속껍데,속껍데기
속껍데기,솜싸개
속껍디리,속껍데기
속껍줄,속껍질
속눈쑵,속눈썹
속배기,고갱이
속버네,보늬
속번데,보늬
속비늘,보늬
속소리,열매가 잘고 씨가 많은 재래종 감
속소리감,열매가 잘고 씨가 많은 재래종 감
속소리바람,회오리바람
속수리꿀밤,상수리
속수리나무,상수리나무
속수리낭게,상수리나무
속수리낭기,상수리나무
속안,속
속알,고갱이
속이,석유
속중이,고쟁이
속태,품질이 우수하여 속이 푸르스름한 빛을 띠는 밤콩
속후다,속이다
손,덩굴손
손고락,손가락
손구락,손가락
손구락지,손가락
손국수,칼국수
손그락,손가락
손그릇,반짇고리
손꼽질,소꿉질
손덩,손등
손땀,손끝
손매디,손마디
손모감지,손모가지
손세,손서
손속,솜씨
손쐐기,쐐기
손잽손,손짭손
손토비,손톱
손툽,손톱
손푸,씀씀이
손홀태,그네
솓가지,솔가지
솔가루,솔가리
솔가시,솔가리
솔가지,솔가리
솔개미,솔개
솔개비,솔가리
솔갱이,솔개
솔갱이,솔가리
솔거럭,솔가리
솔거루,솔가리
솔거울,솔가리
솔걸,솔가리
솔고로,솔가리
솔고루,솔가리
솔그륵,솔가리
솔꾕이,관솔
솜두루매기,솜두루마기
솟,솥
송고떡,송기떡
송낭,성냥
송반집,가겟집
송방,가게
송새리,송사리
송아치,송아지
송이,송화
송이낭구,둥우리막대
송징이버거리,부나비
송챙이,송충이
송쳉이,송충이
송추이,송충이
송췽이,송충이
송치이,송충이
솣,솥
솥글겡이,눌은밥
쇄,쇠
쇄다,쇠다
쇄닥다리,사닥다리
쇄스랑,쇠스랑
쇄죽통,구유
쇄치,송아지
쇄치,씀바귀
쇄파리,쉬파리
쇗되,열쇠
쇠,혀
쇠,소
쇠게기,쇠고기
쇠경,석경
쇠고이기,쇠고기
쇠괴기,쇠고기
쇠굽,소의 발굽
쇠굽통,소의 발굽
쇠기,속
쇠꼬랭이,쇠꼬리
쇠꽁지,쇠꼬리
쇠끝,혀끝
쇠끼손구락,새끼손가락
쇠대가리,쇠머리
쇠더어리,쇳덩어리
쇠더이,쇳덩이
쇠덤,쇠두엄
쇠똥버러지,개똥벌레
쇠띠기,쇠뜨기
쇠망,부리망
쇠머거리,부리망
쇠메질,돌땅
쇠목질리다,쇳소리 같이 날카롭다
쇠물바가지,쇠죽바가지
쇠물박,쇠죽바가지
쇠물빡,쇠죽바가지
쇠물솥,가마솥
쇠바닥,혓바닥
쇠발꿉,소의 발굽
쇠발톱,소의 발톱
쇠발통,소의 발굽
쇠발툽,소의 발톱
쇠발틉,소의 발톱
쇠비듬,쇠비름
쇠비럼,쇠비름
쇠소당,쇠소댕
쇠시랑,쇠스랑
쇠아치,송아지
쇠야치,송아지
쇠양간,외양간
쇠입망,부리망
쇠주,소주
쇠주거리,좋은 일이 생겼을 때 소주로 한턱내는 일
쇠파리,쉬파리
쇠풀,쇠꼴
쇠홀태,그네
쇡경,석경
쇡유,석유
쇡이,석유
쇡이기름,석유
쇡이다,속이다
쇡히,속히
쇰,수염
쇳대,열쇠
쇳더어리,쇳덩어리
쇳바눌,혓바늘
쇳바늘,혓바늘
쇳바닥,혓바닥
쇳바대기,혓바닥
쇼자,효자
수,수렁
수경,소경
수구리다,수그리다
수구막이,장승
수꾸대,수숫대
수꾸뎅이,수렁
수꿩,숯
수끼락,숟가락
수내기,새꽤기
수냉이,순
수대,물부리
수돌,숫돌
수라,소라
수랑,수렁
수렁창,수렁
수레바꾸,수레바퀴
수리목지르다,쉰 목소리로 소리를 지르다
수리탄,수류탄
수무까꾸,숨바꼭질
수무까무,숨바꼭질
수무남은,스무남은
수무남짓,스무남은
수미,숨
수새,수시
수수꽤이,수수깡
수수댕이,수숫대
수수때이,수숫대
수수모개,수수의 이삭
수수부끼미,수수부꾸미
수숙,수수
수술,술
수숫대공,수숫대
수슥,조
수시랑벌거지,그리마
수시미,수세미
수실,술
수쐐,쐐기
수쐬,수쇠
수에주,소주
수염,수영
수영엄마,의붓어미
수음,수풀
수이경,소경
수이미,숨
수이뿔,쇠뿔
수이죽,쇠죽
수자,숟가락
수자,수저
수중기,수증기
수지비,수제비
수짓밥,집을 나간 사람을 위하여 떠 놓는 밥
수챗구녕,수챗구멍
수챗구디,수챗구멍
수챗구력,수챗구멍
수챗도랑,개골창
수챗돌,개골창
수커,수컷
수케,수컷
수코냉이,수고양이
수코이,수고양이
수타기,수탉
수탁,수탉<DR /> 제주 지역에서는 수’으로도 적는다.
수통,수렁
수통,수채
수핑이,수평아리
숙소,수소
숙쇠,수쇠
숙쐬,수쇠
숙지판,진펄
순구녁,숨구멍
순썰이,끝물의 담뱃순을 썰어 말린 담배
숟,숯
숟구리,숯가마
술,꽃술
술돌,숫돌
술둑,숫돌
술뚝,숫돌
술멕이,호미씻이
술지금지,술지게미
숨,섬
숨,솜
숨게다,숨기다
숨고얭이,수고양이
숨구멍,아가미
숨기장난,숨바꼭질
숨꽹이,수고양이
숨돌쩌구,수톨쩌귀
숨돌쩌기,수톨쩌귀
숨두부,순두부
숨바꼬지,숨바꼭질
숨바꼬질,숨바꼭질
숨바꼭기,숨바꼭질
숨바꼼질,숨바꼭질
숨바꼽질,숨바꼭질
숨바꾸질,숨바꼭질
숨바꾹질,숨바꼭질
숨소,수소
숨쇠,수쇠
숨쐬,수쇠
숨지두리,수톨쩌귀
숨캐,수캐
숨키다,숨기다
숨통,아가미
숨풀,덩굴
숩,섶
숩쇠,수쇠
숫,숯
숫가이,수캐
숫거멍,숯검정
숫검벙,숯
숫겅,숯검정
숫고양이,수고양이
숫고얭이,수고양이
숫고이,수고양이
숫궁기,숫구멍
숫닥,수탉
숫데이,숯덩이
숫독,숫돌
숫돌쩌구,수톨쩌귀
숫돌쩌기,수톨쩌귀
숫둑,숫돌
숫둘,숫돌
숫세,수쇠
숫저귀,수쇠
숫지두리,수쇠
숭구다,심다
숭끼장난,숨바꼭질
숭낭,숭늉
숭낭물,숭늉
숭내,흉내
숭냄,숭늉
숭념,숭늉
숭늉이,숭늉
숭능,숭늉
숭닌,숭늉
숭님,숭늉
숭보다,흉보다
숭사리,송사리
숭쇠,수쇠
숭씨다,엄살떨다
숭융,숭늉
숭작,흉작
숭터,흉터
숯가매,숯가마
숱,숯
숱가마,숯가마
숱구데기,숯가마
숱구뎅이,숯가마
숱구젱이,숯가마
숲,섶
숲다,싶다
쉐,쇠
쉐,혀
쉐다,쇠다
쉐머리,쇠머리
쉐미,싸라기
쉐악,쐐기
쉐자,나막신
쉐주,소주
쉠,수염
쉣바닥,혓바닥
쉬,수렁
쉬경,소경
쉬구쏘,수렁
쉬깔기다,쉬슬다
쉬깔리다,쉬슬다
쉬놓다,쉬슬다
쉬다,쇠다
쉬미,숨
쉬발유,휘발유
쉬실다,쉬슬다
쉬씰다,쉬슬다
쉬엄,수염
쉬염,수염
쉬우다,쉬다
쉬운,쉰
쉬운발이,그리마
쉬은,쉰
쉬통,구유
쉬파람,휘파람
쉬훈,쉰
쉴참,곁두리
쉼게다,숨기다’ 방언
쉼기다,숨기다
쉿바눌,혓바늘
슁기다,심다
슈,어요
스,서
스러움,서러움
스러웁다,서럽다
스럽다,서럽다
스룹다,서럽다
스마,소매
스모,서모
스무남짓,스무남은
스믈,스물
스사루,서서히
스사루,스스로
스사루,스스로
스산,서산
스산마룽이,서산마루
스수,수수
스수댕이,수숫대
스숙,조
스숙밥,조밥
스숙쌀,좁쌀
스슥,조
스슥,수수
스슥밥,조밥
스슥쌀,좁쌀
