어휘,뜻풀이
골마,남쪽과 동남쪽 사이에서 불어오는 바람
골마루,허리춤
골막,허리춤
골망,고랑
골매이,골무
골미창,개골창
골방마루,툇마루
골배,달팽이
골배이,다슬기
골빼이,고삐
골뺑이,고삐
골삐,고삐
골짜구니,골짜기
골째기,골짜기
골찌기,골짜기
골태기,그루터기
골탱이,골짜기
골팅이,골짜기
골패,골무
곰,고욤
곰고임이,곰곰이
곰막,고막
곰방대,물부리
곰배,고무래
곰배,곰방메
곰배곰배,곰비임비
곰배임배,곰비임비
곰백팔,곰배팔이
곰부,곰보
곰스란히,고스란히
곰지다,알차다
곰파우,곰팡이
곰파이,곰팡이
곰패기,곰팡이
곰팰,곰팡이
곱사됭이,곱사등이
곱살머리,곱슬머리
곱은태이,모롱이
곱은탱이,모롱이
곱은티이,모롱이
곱은팅이,모롱이
곱처,곱사등이
곳관,곳간
공구르다,다지다
공굴리다,공글리다
공다리무수,장다리무
공딩이,궁둥이
공배턱,는개
공야이,고양이
공이백이,심
과,과줄
과게,가게
과겟집,가겟집
과바탕,과줄
과방,광
과우,거위
과우리,광주리
과우리,광저기
과이,괭이
과택,과댁
관지놀이,관자놀이
관짓놀이,관자놀이
괄퀴,갈퀴
괄키,갈퀴
괄키다,긁히다
괌밥,튀밥
광기뻬,광대뼈
광대뻬,광대뼈
광솔,관솔
광술,관솔
광이,광
광이,괭이
광주리,광저기
광지리,광주리
괘,게
괘기,꽤기
괘리,옷이 내려가지 않도록 허리에 둘러매는 띠. 흔히 헝겊으로 만든다
괘리,새꽤기
괘리끈,허리끈
괘리떼,허리띠
괘리띠,허리띠
괘이,괭이
괘투리,까투리
괙괙,야옹야옹
괙괙,개굴개굴
괜수,간수
괠띠,허리띠
괠키다,긁히다
괭기,괭이
괭이,광
괭장히,굉장히
괴,궤
괴,게
괴기,고기
괴기덩어리,고깃덩어리
괴기밥,고기밥
괴기이리,아가미
괴기쭉지,지느러미
괴깃덩어리,고깃덩어리
괴깃뎅이,고깃덩이
괴리끈,허리띠
괴리띠,허리띠
괴미,곰
괴밀개,아궁이의 재를 긁어내는 데 쓰는 T’ 자 모양의 도구. 곡식을 그러모으거나 펴는 데 쓰는 밀개보다 크기가 작다
괴비,고삐
괴뺑이,고삐
괴삐,고삐
괴아리끈,허리띠
괴아리띠,허리띠
괴어리,허리띠
괴엄,고욤
괴염,고욤
괴욤,고욤
괴이,괭이
괴이다,괴다
괴자리,구더기
괴짝,궤짝
괴침,고의춤
괴통,교통
괴팽이,고삐
괸이,괜히
괼,귀얄
괼띠,허리띠
굄,고욤
굄마리,허리춤
굉이,괭이
굉이,방앗공이
교론,결혼
교툉이,교통
굠,고욤
구구러지다,구겨지다
구김살,주름살
구넉,구멍
구녁,구멍
구녕,구멍
구뇽,구멍
구누,그네
구늉쇠,다리쇠
구늘,그네
구니,그네
구더리,구덩이
구더이,구덩이
구덩이,구멍
구데기,구덩이
구데이,구덩이
구뎅이,구더기
구뎅이,구덩이
구두기,구더기
구두세이,구두쇠
구두숟갈,구둣주걱
구두주걱,구둣주걱
구둘,구들
구둘등,"전통 가옥에서, 온돌방에 구들을 놓기 위해 방고래와 방고래 사이에 돌과 흙을 이용하여 좁고 길게 쌓아 놓은 둑"
구둘목,"전통 가옥에서, 온돌방에 구들을 놓기 위해 방고래와 방고래 사이에 돌과 흙을 이용하여 좁고 길게 쌓아 놓은 둑"
구둘삐,방구들의 재료로 쓰는 넓적한 돌
구둘심,"전통 가옥에서, 온돌방에 구들을 놓기 위해 방고래와 방고래 사이에 돌과 흙을 이용하여 좁고 길게 쌓아 놓은 둑"
구둥살,굳은살
구들등,"전통 가옥에서, 온돌방에 구들을 놓기 위해 방고래와 방고래 사이에 돌과 흙을 이용하여 좁고 길게 쌓아 놓은 둑"
구들목,"전통 가옥에서, 온돌방에 구들을 놓기 위해 방고래와 방고래 사이에 돌과 흙을 이용하여 좁고 길게 쌓아 놓은 둑"
구들심,"전통 가옥에서, 온돌방에 구들을 놓기 위해 방고래와 방고래 사이에 돌과 흙을 이용하여 좁고 길게 쌓아 놓은 둑"
구디,구덩이
구디기,구더기
구디이,구덩이
구딩이,구덩이
구뗑이,구석
구뚜라미,귀뚜라미
구뚜래미,귀뚜라미
구뚜이래미,귀뚜라미
구락장이,아궁이
구락쟁이,아궁이
구락젱이,아궁이
구람,굴밤
구람,상수리
구랑,고랑
구러이,구렁이
구럼,구름
구렁,고랑
구렁세,굴렁쇠
구렁찰논,구렁논
구레기,구렁이
구레나루,구레나룻
구레쉬엄,구레나룻
구레시엄,구레나룻
구레이,구렁이
구렛나루,구레나룻
구렛나루시,구레나룻
구렛나리,구레나룻
구렛날,구레나룻
구렛날구,구레나룻
구렛낫,구레나룻
구렝이,골짜기
구론내,구린내
구루,그루
구루다,구르다
구룬내,구린내
구룸,구름
구룸마,수레
구르마,수레
구르질,구두질
구르질하다,구두질하다
구른내,구린내
구름마,수레
구리날구지,구레나룻
구리셤,구레나룻
구리시엄,구레나룻
구만,그만
구머리,거머리
구먹,구멍
구멍가가,구멍가게
구멍까게,구멍가게
구멍세,다리쇠
구멍쇠,다리쇠
구멩이,구멍
구명,구멍
구몽,구멍
구몽쇠,다리쇠
구묵,구멍
구미,단위
구미,곰
구미,꾸미
구불티,모퉁이
구석둥,구석
구석뱅이,구석
구석재이,구석
구석쟁이,구석
구석즈이,구석
구석지,구석
구석지이,구석
구석징이,구석
구석챙이,구석
구석탱이,구석
구세미,아가미
구세이,구석
구쇠,구유
구수,구유
구순구순,오순도순
구술,구슬
구숩다,고소하다
구스칼,구둣주걱
구시,구유
구시레미,지느러미
구신,귀신
구실,구슬
구양,구유
구양살이,귀양살이
구여,궤
구여짝,궤짝
구역,구석
구연,추녀
구왝구왝,꿀꿀
구욕질,구역질
구유짝,궤짝
구융,구유
구이,구유
구이,귀
구이,고양이
구이개,귀이개
구이뚜라미,귀뚜라미
구이뚜래미,귀뚜라미
구이뚜리,귀뚜리
